0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0.5555555555555556
0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0.4444444444444444
1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0.4444444444444444
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0.4444444444444444
1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0.4444444444444444
0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0.4444444444444444
0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0.5555555555555556
1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.5555555555555556
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0.4444444444444444
1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0.4444444444444444
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0.0
1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0.0
0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0.4444444444444444
1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0.0
0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0.0
0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.5555555555555556
1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0.5555555555555556
0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0.4444444444444444
1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0.4444444444444444
0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0.4444444444444444
0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.5555555555555556
0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.5555555555555556
1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.5555555555555556
0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0
0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.5555555555555556
0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.0
1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.5555555555555556
0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5555555555555556
1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,-0.5
0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0.0
1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0.0
0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,-0.5
0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0.4444444444444444
1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0.4444444444444444
1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0.0
0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0.0
0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0.5555555555555556
1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0.5555555555555556
1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0.0
0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.0
0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0.5555555555555556
1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.5555555555555556
1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0.4444444444444444
0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,-0.5
0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0.5555555555555556
1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.5555555555555556
0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0
0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.0
1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0
0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0
1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,-0.5
1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0.0
0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-0.5
1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,-0.5
1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,-0.5
0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,-0.5
1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,-0.5
1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0.4444444444444444
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,-0.5
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.4444444444444444
1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0.4444444444444444
0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.5
1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0.5555555555555556
0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,-0.5
1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.5555555555555556
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0.0
1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.5555555555555556
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.5
1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,-0.5
1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0.4444444444444444
0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,-0.5
1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0.0
1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0.4444444444444444
